Designator,Mid X,Mid Y,Rotation,Layer
C1,144.399,-38.354,0.0,top
C10,112.99,-49.5,90.0,top
C11,115.5,-49.5,90.0,top
C12,115.49,-53.9,270.0,top
C13,112.99,-53.9,270.0,top
C14,110.49,-53.9,270.0,top
C15,101.725,-76.4,0.0,top
C16,94.9,-70.2,90.0,top
C17,92.6,-70.2,90.0,top
C2,141.3577,-38.354,0.0,top
C21,107.85,-45.9,90.0,top
C3,138.3164,-38.354,0.0,top
C4,92.0,-38.5,180.0,top
C5,96.0,-63.725,270.0,top
C6,92.5,-62.5,180.0,top
C7,92.5,-65.0,180.0,top
C8,92.0,-41.0,180.0,top
C9,110.6,-49.5,90.0,top
D0,133.0,-64.7,0.0,top
D1,129.0225,-38.354,0.0,top
D2,105.5,-49.15,0.0,top
D3,105.5,-51.875,180.0,top
D4,105.5,-54.6,0.0,top
GN1,128.123,-74.259,270.0,top
J1,123.8,-39.1,270.0,top
J2,147.034,-71.636,0.0,top
L1,106.475,-39.85,180.0,top
P1,104.7,-62.3,270.0,top
P2,98.5,-51.5,270.0,top
Q1,121.55,-46.7,90.0,top
Q2,121.55,-42.7,90.0,top
Q3,103.7,-46.05,0.0,top
R0,132.9775,-67.1,0.0,top
R1,135.2751,-38.354,0.0,top
R10,120.4,-50.7,270.0,top
R11,123.9,-50.7,270.0,top
R12,97.05,-40.5375,90.0,top
R13,102.14,-39.4,0.0,top
R14,102.14,-41.35,0.0,top
R15,109.8,-59.3125,270.0,top
R16,109.8,-63.3125,90.0,top
R17,105.62,-76.5,180.0,top
R18,99.3,-69.12,90.0,top
R19,100.05,-69.12,90.0,top
R2,125.0,-46.7,90.0,top
R20,100.8,-69.125,90.0,top
R21,98.275,-76.4,0.0,top
R22,105.62,-77.5,180.0,top
R23,96.25,-66.5,0.0,top
R24,96.25,-67.25,0.0,top
R25,96.25,-68.0,0.0,top
R26,94.075,-73.2,180.0,top
R3,125.0,-42.7,270.0,top
R4,119.7875,-54.4,180.0,top
R5,123.9,-54.7,270.0,top
R6,143.575,-62.2,180.0,top
R7,139.7,-62.2,180.0,top
R8,132.2338,-38.354,180.0,top
R9,122.15,-50.7,270.0,top
SW1,111.1,-44.6,270.0,top
SW2,115.85,-44.55,270.0,top
SW3,133.3,-73.55,180.0,bottom
SW4,121.0,-73.55,180.0,bottom
SW5,108.6,-73.55,180.0,bottom
U1,137.0,-51.2,270.0,top
U2,100.075,-74.0,0.0,bottom
U3,94.1,-73.9125,0.0,bottom
