Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,22uF,C59461
"C10, C14, C3, C8, C9",0603,5,1uF,C15849
"C11, C12, C13, C21, C4, C5, C6, C7",0603,8,4.7uF,C19666
"C15, C16, C17, C2",0603,4,100nF,C14663
"D2, D3, D4",D_SOD-123,3,MBR0530,C5204746
P1,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,1,ePaper FL,C2842522
P2,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,ePaper,C2842527
"Q1, Q2",SOT-23,2,S8050,C2150
Q3,SOT-323_SC-70,1,SI1308,C469327
"R0, R8",0603,2,470,C23179
"R1, R10, R11, R13, R2, R3, R5, R9",0603,8,10k,C25804
"R12, R4",0805,2,0,C17477
R14,0603,1,0.47,
R15,0805,1,10,C17415
"R17, R18, R19, R20, R22, R23, R24, R25",0603,8,0,C21189
R21,0603,1,2.2k,C4190
R26,0603,1,8.2k,C25981
"R6, R7",0603,2,4.7k,C23162
U2,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1,SHT31-DIS,C80862
U3,VISHAY_VCNL4040_4X2X1.1,1,VCNL4040M3OE,C142526
